month,top,art _photography_personalization,beauty_shopping_lifestyle,books _news _comics,business_finance_productivity,editorChoice,entertainment_events_food ,health _medical_sports,house _parenting_education,maps _travel _weather,music _video _auto ,social_dating_communication,tools_libraries _general
201711,Editors Choice,0,0,0,0,911,0,0,0,0,0,0,0
201712,Editors Choice,0,0,0,0,1195,0,0,0,0,0,0,0
201801,Editors Choice,0,0,0,0,956,0,0,0,0,0,0,0
201802,Editors Choice,0,0,0,0,430,0,0,0,0,0,0,0
201803,Editors Choice,0,0,0,0,500,0,0,0,0,0,0,0
201804,Editors Choice,0,0,0,0,608,0,0,0,0,0,0,0
201805,Editors Choice,0,0,0,0,500,0,0,0,0,0,0,0
201711,Top Free,4700,4691,4578,4594,0,4491,4699,4683,4797,4694,4589,4663
201712,Top Free,5969,5994,5957,5990,0,5982,5988,5977,5996,5989,5980,5878
201801,Top Free,4781,4790,4745,4792,0,4783,4792,4794,4796,4780,4788,4773
201802,Top Free,4699,4800,4798,4800,0,4795,4800,4800,4800,4798,4794,4585
201803,Top Free,4800,4799,4797,4800,0,4797,4798,4799,4800,4798,4793,4794
201804,Top Free,5998,6000,5999,6000,0,5999,5998,6000,6000,5996,5999,5997
201805,Top Free,4787,4791,4773,4799,0,4787,4800,4795,4799,4796,4782,4792
201711,Top Selling,3786,2135,2654,4238,0,2185,4449,2029,3979,3954,2557,3644
201712,Top Selling,4747,2580,3394,5389,0,2718,5581,2671,5006,5057,3279,4672
201801,Top Selling,3810,2097,2799,4405,0,2255,4556,2172,4039,4059,2649,3743
201802,Top Selling,3811,2038,2721,4372,0,2286,4602,2196,4016,4107,2645,3593
201803,Top Selling,3886,1997,2667,4288,0,2301,4596,2188,3982,4070,2633,3662
201804,Top Selling,4893,2617,3386,5380,0,2917,5740,2814,5027,5148,3313,4630
201805,Top Selling,3928,2069,2576,4323,0,2334,4601,2324,4026,4200,2623,3703
