label,country,value
String,global,45.6
Numeric,global,24.4
Date,global,8.3
Null,global,7.7
Bool,global,5.6
Array,global,5.6
Object,global,2.8
String,br,45.5
Numeric,br,24.4
Date,br,8.3
Null,br,7.8
Bool,br,5.6
Array,br,5.6
Object,br,2.8
String,co,45.7
Numeric,co,24.3
Date,co,8.3
Null,co,7.8
Bool,co,5.6
Array,co,5.6
Object,co,2.8
String,de,45.7
Numeric,de,24.6
Date,de,8.3
Null,de,7.5
Bool,de,5.6
Array,de,5.6
Object,de,2.8
String,us,45.7
Numeric,us,24.5
Date,us,8.3
Null,us,7.6
Bool,us,5.6
Array,us,5.6
Object,us,2.8
